Name,Country,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Ludvig Svennerstal,Sweden,21,186,69,M,Equestrian,"Individual Eventing, Team Eventing, SHAMWARI",,,,
Malin Petersen,Sweden,31,169,62,F,Equestrian,"Individual Eventing, Team Eventing, SOFARSOGOOD",,,,
Ruy Fonseca,Brazil,39,,,M,Equestrian,"Individual Eventing, Team Eventing, TOM BOMBADILL TOO",,,,
William Coleman,United States of America,29,188,81,M,Equestrian,"Individual Eventing, Team Eventing, TWIZZEL",,,,
Elaine Pen,Netherlands,22,168,65,F,Equestrian,"Individual Eventing, Team Eventing, VIRA",,,,
Sara Algotsson Ostholt,Sweden,37,162,55,F,Equestrian,"Individual Eventing, Team Eventing, WEGA",YES,,1,
Pawel Spisak,Poland,30,176,68,M,Equestrian,"Individual Eventing, WAG",,,,
Reiko Takeda,Japan,27,151,49,F,Equestrian,"Individual Jumping, ARI",,,,
Taizo Sugitani,Japan,36,170,63,M,Equestrian,"Individual Jumping, AVENZIO",,,,
Jillian Terceira,Bermuda,41,163,58,F,Equestrian,"Individual Jumping, BERNADIEN VAN WESTUUR",,,,
Cian O'Connor,Ireland,32,178,82,M,Equestrian,"Individual Jumping, BLUE LOYD 12",YES,,,1
Vladimir Tuganov,Russian Federation,51,,,M,Equestrian,"Individual Jumping, LANCERO",,,,
Luciana Diniz,Portugal,41,176,54,F,Equestrian,"Individual Jumping, LENNOX",,,,
Alejandro Madorno,Argentina,40,183,73,M,Equestrian,"Individual Jumping, MILANO DE FLORE",,,,
Jose Maria Larocca,Argentina,43,183,83,M,Equestrian,"Individual Jumping, ROYAL POWER",,,,
Rodrigo Diaz,Colombia,33,187,78,M,Equestrian,"Individual Jumping, ROYAL VINCKEN",,,,
Daniel Bluman,Colombia,22,180,72,M,Equestrian,"Individual Jumping, SANCHA",,,,
Samuel Parot,Chile,47,170,80,M,Equestrian,"Individual Jumping, Team Jumping, AL CALYPSO",,,,
Henrik von Eckermann,Sweden,31,186,77,M,Equestrian,"Individual Jumping, Team Jumping, ALLERDINGS",,,,
Mclain Ward,United States of America,36,173,73,M,Equestrian,"Individual Jumping, Team Jumping, ANTARES",,,,
Ramzy Al Duhami,Saudi Arabia,40,,,M,Equestrian,"Individual Jumping, Team Jumping, BAYARD VAN DE VILLA THERE",YES,,,0.25
Meredith Michaels-Beerbaum,Germany,42,162,50,F,Equestrian,"Individual Jumping, Team Jumping, BELLA DONNA",,,,
Nick Skelton,Great Britain,54,175,77,M,Equestrian,"Individual Jumping, Team Jumping, BIG STAR",YES,0.25,,
Jur Vrieling,Netherlands,43,189,80,M,Equestrian,"Individual Jumping, Team Jumping, BUBALU",YES,,0.25,
Dirk Demeersman,Belgium,48,170,72,M,Equestrian,"Individual Jumping, Team Jumping, BUFERO VAN HET PANISHOF",,,,
Gregory Wathelet,Belgium,31,190,85,M,Equestrian,"Individual Jumping, Team Jumping, CADJANINE Z",,,,
Pius Schwizer,Switzerland,49,175,65,M,Equestrian,"Individual Jumping, Team Jumping, CARLINA IV",,,,
Rolf-Goran Bengtsson,Sweden,50,171,70,M,Equestrian,"Individual Jumping, Team Jumping, CASALL",,,,
Paul Estermann,Switzerland,49,180,77,M,Equestrian,"Individual Jumping, Team Jumping, CASTLEFIELD ECLIPSE",,,,
Christian Ahlmann,Germany,37,192,88,M,Equestrian,"Individual Jumping, Team Jumping, CODEX ONE",,,,
Aleksandr Onishchenko,Ukraine,43,175,76,M,Equestrian,"Individual Jumping, Team Jumping, COMTE D'ARSOUILLES",,,,
Nicolas Pizarro,Mexico,33,179,66,M,Equestrian,"Individual Jumping, Team Jumping, CROSSING JORDAN",,,,
Reed Kessler,United States of America,18,165,54,F,Equestrian,"Individual Jumping, Team Jumping, CYLANA",,,,
Hrh Prince Abdullah Al Saud,Saudi Arabia,27,,,M,Equestrian,"Individual Jumping, Team Jumping, DAVOS",YES,,,0.25
Kamal Bahamdan,Saudi Arabia,42,,,M,Equestrian,"Individual Jumping, Team Jumping, DELPHI",YES,,,0.25
Eric Lamaze,Canada,44,165,65,M,Equestrian,"Individual Jumping, Team Jumping, DERLY CHIN DE MUZE",,,,
Richard Fellers,United States of America,52,183,77,M,Equestrian,"Individual Jumping, Team Jumping, FLEXIBLE",,,,
Jaime Azcarraga,Mexico,52,180,74,M,Equestrian,"Individual Jumping, Team Jumping, GANGSTER",,,,
Jill Henselwood,Canada,49,168,56,F,Equestrian,"Individual Jumping, Team Jumping, GEORGE",,,,
Scott Brash,Great Britain,26,171,64,M,Equestrian,"Individual Jumping, Team Jumping, HELLO SANCTOS",YES,0.25,,
Werner Muff,Switzerland,38,182,76,M,Equestrian,"Individual Jumping, Team Jumping, KIAMON",,,,
Janne Friederike Meyer,Germany,31,166,56,F,Equestrian,"Individual Jumping, Team Jumping, LAMBRASCO",,,,
James Paterson-Robinson,Australia,33,170,65,M,Equestrian,"Individual Jumping, Team Jumping, LANOSSO",,,,
Gerco Schroder,Netherlands,34,165,71,M,Equestrian,"Individual Jumping, Team Jumping, LONDON",YES,,1.25,
Olivier Guillon,France,40,182,75,M,Equestrian,"Individual Jumping, Team Jumping, LORD DE THEIZE",,,,
Jens Fredricson,Sweden,44,180,78,M,Equestrian,"Individual Jumping, Team Jumping, LUNATIC",,,,
Penelope Leprevost,France,32,175,55,F,Equestrian,"Individual Jumping, Team Jumping, MYLORD CARTHAGO",,,,
Simon Delestre,France,31,174,67,M,Equestrian,"Individual Jumping, Team Jumping, NAPOLI DU RY",,,,
Bjorn Nagel,Ukraine,34,186,76,M,Equestrian,"Individual Jumping, Team Jumping, NIACK DE L'ABBAYE",,,,
Steve Guerdat,Switzerland,30,182,68,M,Equestrian,"Individual Jumping, Team Jumping, NINO DES BUISSONNETS",YES,1,,
Rodrigo Carrasco,Chile,36,180,77,M,Equestrian,"Individual Jumping, Team Jumping, OR DE LA CHARBONIERE",,,,
Marcus Ehning,Germany,38,170,63,M,Equestrian,"Individual Jumping, Team Jumping, PLOT BLUE",,,,
Alvaro Affonso de Miranda Neto,Brazil,39,,,M,Equestrian,"Individual Jumping, Team Jumping, RAHMANNSHOF'S BOGENO",,,,
Rodrigo Pessoa,Brazil,39,177,67,M,Equestrian,"Individual Jumping, Team Jumping, REBOZO",,,,
Alberto Michan Halbinger,Mexico,33,173,70,M,Equestrian,"Individual Jumping, Team Jumping, ROSALIA",,,,
Kevin Staut,France,31,183,70,M,Equestrian,"Individual Jumping, Team Jumping, SILVANA",,,,
Ian Millar,Canada,65,185,76,M,Equestrian,"Individual Jumping, Team Jumping, STAR POWER",,,,
Abdullah Waleed Sharbatly,Saudi Arabia,29,,,M,Equestrian,"Individual Jumping, Team Jumping, SULTAN",YES,,,0.25
Carlos Alberto Morstadt,Chile,21,188,80,M,Equestrian,"Individual Jumping, Team Jumping, TALENTO",,,,
Marc Houtzager,Netherlands,41,190,87,M,Equestrian,"Individual Jumping, Team Jumping, TAMINO",YES,,0.25,
Cassio Rivetti,Ukraine,32,175,65,M,Equestrian,"Individual Jumping, Team Jumping, TEMPLE ROAD",,,,
Malin Baryard-Johnsson,Sweden,37,172,52,F,Equestrian,"Individual Jumping, Team Jumping, TORNESCH",,,,
Ben Maher,Great Britain,29,187,68,M,Equestrian,"Individual Jumping, Team Jumping, TRIPPLE X",YES,0.25,,
Tomas Couve Correa,Chile,40,183,64,M,Equestrian,"Individual Jumping, Team Jumping, UNDERWRAPS",,,,
Jos Lansink,Belgium,51,178,70,M,Equestrian,"Individual Jumping, Team Jumping, VALENTINA VAN 'T HEIKE",,,,
Julia Hargreaves,Australia,26,178,57,F,Equestrian,"Individual Jumping, Team Jumping, VEDOR",,,,
Maikel van der Vleuten,Netherlands,24,168,58,M,Equestrian,"Individual Jumping, Team Jumping, VERDI",YES,,0.25,
Elizabeth Madden,United States of America,48,168,62,F,Equestrian,"Individual Jumping, Team Jumping, VIA VOLO",,,,
Tiffany Foster,Canada,28,165,50,F,Equestrian,"Individual Jumping, Team Jumping, VICTOR",,,,
Federico Fernandez,Mexico,44,173,80,M,Equestrian,"Individual Jumping, Team Jumping, VICTORIA",,,,
Philippe le Jeune,Belgium,52,172,76,M,Equestrian,"Individual Jumping, Team Jumping, VIGO D'ARSOUILLES",,,,
Peter Charles,Great Britain,52,175,78,M,Equestrian,"Individual Jumping, Team Jumping, VINDICAT",YES,0.25,,
Katharina Offel,Ukraine,35,166,54,F,Equestrian,"Individual Jumping, Team Jumping, VIVANT",,,,
Matt Williams,Australia,27,178,72,M,Equestrian,"Individual Jumping, Team Jumping, WATCH ME",,,,
Billy Twomey,Ireland,35,172,75,M,Equestrian,"Individual Jumping, TINKA'S SERENADE",,,,
Ibrahim Hani Bisharat,Jordan,28,174,70,M,Equestrian,"Individual Jumping, VRIEDA O",,,,
Karim El Zoghby,Egypt,35,178,70,M,Equestrian,"Individual Jumping, WERVEL WIND",,,,
Ahmad Saber Hamcho,Syrian Arab Republic,19,168,72,M,Equestrian,"Individual Jumping, WONDERBOY",,,,
Yana Shemyakina,Ukraine,26,167,58,F,Fencing,"    Women's Individual Epee,     Women's Team Epee",YES,1,,
Athos Schwantes,Brazil,27,189,80,M,Fencing,Men's Individual Epee,,,,
Paris A. Inostroza Budinich,Chile,39,183,90,M,Fencing,Men's Individual Epee,,,,
Ayman Fayez,Egypt,21,180,75,M,Fencing,Men's Individual Epee,,,,
Nikolai Novosjolov,Estonia,32,191,90,M,Fencing,Men's Individual Epee,,,,
Gauthier Grumier,France,28,188,82,M,Fencing,Men's Individual Epee,,,,
Yannick Borel,France,23,195,94,M,Fencing,Men's Individual Epee,,,,
Joerg Fiedler,Germany,34,193,87,M,Fencing,Men's Individual Epee,,,,
Ka Ming Leung,"Hong Kong, China",23,184,78,M,Fencing,Men's Individual Epee,,,,
Geza Imre,Hungary,37,184,76,M,Fencing,Men's Individual Epee,,,,
Paolo Pizzo,Italy,29,181,85,M,Fencing,Men's Individual Epee,,,,
Dmitriy Alexanin,Kazakhstan,20,184,82,M,Fencing,Men's Individual Epee,,,,
Elmir Alimzhanov,Kazakhstan,25,185,72,M,Fencing,Men's Individual Epee,,,,
Abdelkarim El Haouari,Morocco,18,171,,M,Fencing,Men's Individual Epee,,,,
Bas Verwijlen,Netherlands,28,190,82,M,Fencing,Men's Individual Epee,,,,
Bartosz Piasecki,Norway,25,,,M,Fencing,Men's Individual Epee,YES,,1,
Guojie Li,People's Republic of China,26,188,85,M,Fencing,Men's Individual Epee,,,,
Radoslaw Zawrotniak,Poland,30,181,75,M,Fencing,Men's Individual Epee,,,,
Jinsun Jung,Republic of Korea,28,185,81,M,Fencing,Men's Individual Epee,YES,,,1
Kyoungdoo Park,Republic of Korea,28,176,76,M,Fencing,Men's Individual Epee,,,,
Pavel Sukhov,Russian Federation,24,180,78,M,Fencing,Men's Individual Epee,,,,
Alexandre Bouzaid,Senegal,31,172,64,M,Fencing,Men's Individual Epee,,,,
Fabian Kauter,Switzerland,26,181,80,M,Fencing,Men's Individual Epee,,,,
Max Heinzer,Switzerland,24,178,73,M,Fencing,Men's Individual Epee,,,,
Dmitriy Karuchenko,Ukraine,32,180,78,M,Fencing,Men's Individual Epee,,,,
Seth Kelsey,United States of America,30,193,95,M,Fencing,Men's Individual Epee,,,,
Soren Thompson,United States of America,31,191,88,M,Fencing,Men's Individual Epee,,,,
Ruslan Kudayev,Uzbekistan,32,180,75,M,Fencing,Men's Individual Epee,,,,
Ruben Limardo Gascon,Venezuela,27,175,80,M,Fencing,Men's Individual Epee,YES,1,,
Silvio Fernandez,Venezuela,33,193,83,M,Fencing,Men's Individual Epee,,,,
Tien Nhat Nguyen,Vietnam,22,170,60,M,Fencing,Men's Individual Epee,,,,
Roland Schlosser,Austria,29,189,83,M,Fencing,Men's Individual Foil,,,,
Guilherme Toldo,Brazil,19,,,M,Fencing,Men's Individual Foil,,,,
Etienne Lalonde Turbide,Canada,23,195,59,M,Fencing,Men's Individual Foil,,,,
Bojan Jovanovic,Croatia,32,,,M,Fencing,Men's Individual Foil,,,,
Nicholas Edward Choi,"Hong Kong, China",19,175,65,M,Fencing,Men's Individual Foil,,,,
Zain Shaito,Lebanon,21,185,72,M,Fencing,Men's Individual Foil,,,,
Daniel Gomez,Mexico,22,178,76,M,Fencing,Men's Individual Foil,,,,
Lahoussine Ali,Morocco,37,176,68,M,Fencing,Men's Individual Foil,,,,
Byungchul Choi,Republic of Korea,30,173,70,M,Fencing,Men's Individual Foil,YES,,,1
Radu Daraban,Romania,29,175,65,M,Fencing,Men's Individual Foil,,,,
Mohamed Samandi,Tunisia,25,184,79,M,Fencing,Men's Individual Foil,,,,
Alaaeldin Abouelkassem,Egypt,21,188,82,M,Fencing,"Men's Individual Foil, Men's Team Foil",YES,,1,
Anas Mostafa,Egypt,21,182,74,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Tarek Ayad,Egypt,25,180,75,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Enzo Lefort,France,20,189,72,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Erwan Le Pechoux,France,30,171,64,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Victor Sintes,France,31,169,62,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Benjamin Kleibrink,Germany,27,174,65,M,Fencing,"Men's Individual Foil, Men's Team Foil",YES,,,0.33
Peter Joppich,Germany,29,176,68,M,Fencing,"Men's Individual Foil, Men's Team Foil",YES,,,0.33
Sebastian Bachmann,Germany,25,182,71,M,Fencing,"Men's Individual Foil, Men's Team Foil",YES,,,0.33
Husayn Rosowsky,Great Britain,21,183,76,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
James-Andrew Davis,Great Britain,21,194,99,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Richard Kruse,Great Britain,29,190,85,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Andrea Baldini,Italy,26,175,69,M,Fencing,"Men's Individual Foil, Men's Team Foil",YES,0.33,,
Andrea Cassara,Italy,28,192,90,M,Fencing,"Men's Individual Foil, Men's Team Foil",YES,0.33,,
Valerio Aspromonte,Italy,25,187,84,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Kenta Chida,Japan,27,170,70,M,Fencing,"Men's Individual Foil, Men's Team Foil",YES,,0.33,
Ryo Miyake,Japan,21,178,70,M,Fencing,"Men's Individual Foil, Men's Team Foil",YES,,0.33,
Yuki Ota,Japan,26,171,69,M,Fencing,"Men's Individual Foil, Men's Team Foil",YES,,0.33,
Jianfei Ma,People's Republic of China,28,185,77,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Sheng Lei,People's Republic of China,28,192,75,M,Fencing,"Men's Individual Foil, Men's Team Foil",YES,,,
Alexey Cheremisinov,Russian Federation,27,180,78,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Artur Akhmatkhuzin,Russian Federation,24,182,74,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Renal Ganeev,Russian Federation,27,178,75,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Alexander Massialas,United States of America,18,191,76,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Miles Chamley-Watson,United States of America,22,193,88,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Race Imboden,United States of America,19,185,75,M,Fencing,"Men's Individual Foil, Men's Team Foil",,,,
Renzo Agresta,Brazil,27,,,M,Fencing,Men's Individual Sabre,,,,
Philippe Beaudry,Canada,25,183,76,M,Fencing,Men's Individual Sabre,,,,
Mannad Zeid,Egypt,22,186,70,M,Fencing,Men's Individual Sabre,,,,
Bolade Apithy,France,26,180,78,M,Fencing,Men's Individual Sabre,,,,
James Honeybone,Great Britain,21,192,81,M,Fencing,Men's Individual Sabre,,,,
Hin Chung Lam,"Hong Kong, China",25,185,74,M,Fencing,Men's Individual Sabre,,,,
Aron Szilagyi,Hungary,22,180,80,M,Fencing,Men's Individual Sabre,YES,1,,
Mojtaba Abedini,Islamic Republic of Iran,27,179,82,M,Fencing,Men's Individual Sabre,,,,
Peng Kean Yu,Malaysia,21,176,65,M,Fencing,Men's Individual Sabre,,,,
Adam Skrodzki,Poland,28,183,77,M,Fencing,Men's Individual Sabre,,,,
Hichem Samandi,Tunisia,25,184,79,M,Fencing,Men's Individual Sabre,,,,
Dmytro Boyko,Ukraine,26,186,82,M,Fencing,Men's Individual Sabre,,,,
Hernan Jansen Brito,Venezuela,27,179,81,M,Fencing,Men's Individual Sabre,,,,
Aliaksandr Buikevich,Belarus,27,191,75,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Dmitri Lapkes,Belarus,36,182,78,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Valery Pryiemka,Belarus,29,177,86,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Benedikt Wagner,Germany,22,191,90,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Max Hartung,Germany,22,190,88,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Nicolas Limbach,Germany,26,195,91,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Aldo Montano,Italy,33,185,80,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",YES,,,0.333333333
Diego Occhiuzzi,Italy,31,180,80,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",YES,,1,0.333333333
Luigi Tarantino,Italy,39,187,96,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Jingzhi Wang,People's Republic of China,29,197,98,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Xiao Liu,People's Republic of China,24,185,73,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Bongil Gu,Republic of Korea,23,180,65,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",YES,0.33,,
Junghwan Kim,Republic of Korea,28,178,64,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",YES,0.33,,
Woo Young Won,Republic of Korea,30,182,76,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",YES,0.33,,
Florin Zalomir,Romania,31,184,78,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",YES,,0.33,
Rares Dumitrescu,Romania,28,191,90,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",YES,,0.33,
Tiberiu Dolniceanu,Romania,24,179,74,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",YES,,0.33,
Alexey Yakimenko,Russian Federation,28,184,79,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Nikolay Kovalev,Russian Federation,25,176,70,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",YES,,,1
Veniamin Reshetnikov,Russian Federation,26,183,78,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Daryl Homer,United States of America,22,173,75,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
James Williams,United States of America,26,188,75,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Timothy Morehouse,United States of America,34,188,88,M,Fencing,"Men's Individual Sabre, Men's Team Sabre",,,,
Sherif Farrag,Egypt,25,,,M,Fencing,Men's Team Foil,,,,
Marcel Marcilloux,France,31,178,76,M,Fencing,Men's Team Foil,,,,
Andre Wessels,Germany,30,192,92,M,Fencing,Men's Team Foil,,,,
Laurence Halsted,Great Britain,28,183,81,M,Fencing,Men's Team Foil,,,,
Giorgio Avola,Italy,23,178,70,M,Fencing,Men's Team Foil,YES,0.33,,
Suguru Awaji,Japan,23,174,67,M,Fencing,Men's Team Foil,,,,
Liangliang Zhang,People's Republic of China,29,180,82,M,Fencing,Men's Team Foil,,,,
Alexey Khovanskiy,Russian Federation,25,186,80,M,Fencing,Men's Team Foil,,,,
Gerek Meinhardt,United States of America,22,183,77,M,Fencing,Men's Team Foil,,,,
Aliaksei Likhacheuski,Belarus,22,189,86,M,Fencing,Men's Team Sabre,,,,
Bjoern Huebner,Germany,26,182,83,M,Fencing,Men's Team Sabre,,,,
Luigi Samele,Italy,25,191,73,M,Fencing,Men's Team Sabre,YES,,,0.333333333
Ke Lu Jiang,People's Republic of China,27,177,76,M,Fencing,Men's Team Sabre,,,,
Eunseok Oh,Republic of Korea,29,181,76,M,Fencing,Men's Team Sabre,,,,
Alexandru Siriteanu,Romania,28,182,81,M,Fencing,Men's Team Sabre,,,,
Pavel Bykov,Russian Federation,30,180,80,M,Fencing,Men's Team Sabre,,,,
Jeff Spear,United States of America,24,183,75,M,Fencing,Men's Team Sabre,,,,
Sherraine Schalm,Canada,37,175,60,F,Fencing,Women's Individual Epee,,,,
Caterin Bravo Aranguiz,Chile,36,173,63,F,Fencing,Women's Individual Epee,,,,
Mona Hassanein,Egypt,26,166,61,F,Fencing,Women's Individual Epee,,,,
Laura Flessel-Colovic,France,40,171,55,F,Fencing,Women's Individual Epee,,,,
Corinna Lawrence,Great Britain,22,168,63,F,Fencing,Women's Individual Epee,,,,
Chui Ling Yeung,"Hong Kong, China",29,163,56,F,Fencing,Women's Individual Epee,,,,
Nozomi Nakano,Japan,26,173,60,F,Fencing,Women's Individual Epee,,,,
Magdalena Piekarska,Poland,25,192,80,F,Fencing,Women's Individual Epee,,,,
Jo-Ting Hsu,Taipei (Chinese Taipei),22,174,60,F,Fencing,Women's Individual Epee,,,,
Sarra Besbes,Tunisia,23,175,62,F,Fencing,Women's Individual Epee,,,,
Maria Martinez,Venezuela,29,170,59,F,Fencing,Women's Individual Epee,,,,
Britta Heidemann,Germany,29,180,71,F,Fencing,"Women's Individual Epee, Women's Team Epee",YES,,1,
Imke Duplitzer,Germany,37,186,79,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Monika Sozanska,Germany,29,163,50,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Bianca Del Carretto,Italy,26,173,54,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Mara Navarria,Italy,27,172,75,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Rossella Fiamingo,Italy,21,168,56,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Na Li,People's Republic of China,31,177,67,F,Fencing,"Women's Individual Epee, Women's Team Epee",YES,0.5,,
Xiaojuan Luo,People's Republic of China,28,170,63,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Yujie Sun,People's Republic of China,19,185,72,F,Fencing,"Women's Individual Epee, Women's Team Epee",YES,0.5,,1
A Lam Shin,Republic of Korea,25,167,57,F,Fencing,"Women's Individual Epee, Women's Team Epee",YES,,0.5,
Hyojung Jung,Republic of Korea,28,168,64,F,Fencing,"Women's Individual Epee, Women's Team Epee",YES,,0.5,
Injeong Choi,Republic of Korea,22,172,55,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Ana Maria Branza,Romania,27,175,63,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Anca Maroiu,Romania,28,174,68,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Simona Gherman,Romania,27,170,55,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Anna Sivkova,Russian Federation,30,176,64,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Lyubov Shutova,Russian Federation,29,177,66,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Violetta Kolobova,Russian Federation,21,180,74,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Kseniya Pantelyeyeva,Ukraine,18,167,67,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Olena Kryvytska,Ukraine,25,173,59,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Courtney Hurley,United States of America,21,173,73,F,Fencing,"Women's Individual Epee, Women's Team Epee",YES,,,0.5
Maya Lawrence,United States of America,32,170,64,F,Fencing,"Women's Individual Epee, Women's Team Epee",YES,,,0.5
Susie Scanlan,United States of America,22,170,58,F,Fencing,"Women's Individual Epee, Women's Team Epee",,,,
Anissa Khelfaoui,Algeria,20,160,63,F,Fencing,Women's Individual Foil,,,,
Monica Peterson,Canada,28,163,56,F,Fencing,Women's Individual Foil,,,,
Saskia Loretta Van Erven Garcia,Colombia,24,170,64,F,Fencing,Women's Individual Foil,,,,
Carolin Golubytskyi,Germany,26,166,56,F,Fencing,Women's Individual Foil,,,,
Po Heung Lin,"Hong Kong, China",27,163,62,F,Fencing,Women's Individual Foil,,,,
Aida Mohamed,Hungary,36,162,56,F,Fencing,Women's Individual Foil,,,,
Mona Shaito,Lebanon,18,152,52,F,Fencing,Women's Individual Foil,,,,
Jinyan Chen,People's Republic of China,24,166,65,F,Fencing,Women's Individual Foil,,,,
Ines Boubakri,Tunisia,23,167,56,F,Fencing,Women's Individual Foil,,,,
Olga A. Leleyko,Ukraine,35,178,68,F,Fencing,Women's Individual Foil,,,,
Johana Beatriz Fuenmayor Choles,Venezuela,33,154,48,F,Fencing,Women's Individual Foil,,,,
Eman Elgammal,Egypt,30,168,51,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Eman Gaber,Egypt,23,171,61,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Shaimaa Elgammal,Egypt,32,171,56,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Astrid Guyart,France,29,174,51,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Corinne Maitrejean,France,32,170,53,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Ysaora Thibus,France,20,174,56,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Anna Bentley,Great Britain,31,183,73,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Arianna Errigo,Italy,24,180,64,F,Fencing,"Women's Individual Foil, Women's Team Foil",YES,0.33,1,
Elisa Di Francisca,Italy,29,177,65,F,Fencing,"Women's Individual Foil, Women's Team Foil",YES,1.33,,
Valentina Vezzali,Italy,38,164,53,F,Fencing,"Women's Individual Foil, Women's Team Foil",YES,0.33,,1
Chieko Sugawara,Japan,35,162,57,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Kanae Ikehata,Japan,29,162,57,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Shiho Nishioka,Japan,23,169,60,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Malgorzata Wojtkowiak,Poland,30,169,65,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Martyna Synoradzka,Poland,24,182,65,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Sylwia Gruchala,Poland,30,172,65,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Gil Ok Jung,Republic of Korea,31,168,53,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Hee Sook Jeon,Republic of Korea,28,169,60,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Hyun Hee Nam,Republic of Korea,30,155,44,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Aida Shanaeva,Russian Federation,26,178,68,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Inna Deriglazova,Russian Federation,22,177,65,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Kamilla Gafurzianova,Russian Federation,24,174,64,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Lee Kiefer,United States of America,18,163,49,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Nicole Ross,United States of America,23,165,57,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Nzingha Prescod,United States of America,19,163,61,F,Fencing,"Women's Individual Foil, Women's Team Foil",,,,
Lea Melissa Moutoussamy,Algeria,14,161,53,F,Fencing,Women's Individual Sabre,,,,
Maria Belen Perez Maurice,Argentina,27,180,67,F,Fencing,Women's Individual Sabre,,,,
